cx,cy,rmajor,rminor,type
63,4,9.818798955815998,4.909399477907999,MH
64,4,14.251794637402254,7.125897318701127,MH
65,4,10.593353012196555,5.296676506098278,MH
66,4,13.095268717601149,6.5476343588005745,MH
67,4,17.161146997122103,8.580573498561051,MH
68,4,14.657109225809615,7.328554612904807,MH
69,4,9.392263708329716,4.696131854164858,MH
70,4,13.112245244864285,6.5561226224321425,MH
71,4,15.179137439151033,7.589568719575516,MH
72,4,10.067080667039352,5.033540333519676,MH
73,4,10.67611358260434,5.33805679130217,MH
74,4,12.21036723401021,6.105183617005105,MH
75,4,10.748263823472666,5.374131911736333,MH
76,4,11.813540909234419,5.9067704546172095,MH
1,5,14.69530641215167,7.347653206075835,MH
2,5,13.935606817126358,6.967803408563179,MH
3,5,11.811418843326527,5.905709421663263,MH
4,5,8.736545342791109,4.368272671395554,MH
5,5,6.758779916635823,3.3793899583179114,MH
6,5,12.948846169956607,6.474423084978303,MH
7,5,3.3762068594560732,1.6881034297280366,MH
8,5,14.226329846507554,7.113164923253777,MH
9,5,15.491081127611148,7.745540563805574,MH
10,5,9.292526610658797,4.6462633053293985,MH
11,5,10.366291960052116,5.183145980026058,MH
12,5,15.981278352334185,7.990639176167092,MH
13,5,21.22065907891938,10.61032953945969,MH
14,5,11.851738095576474,5.925869047788237,MH
15,5,5.621352590005743,2.8106762950028714,MH
16,5,12.384376638457349,6.192188319228674,MH
17,5,10.531813100867689,5.2659065504338445,MH
18,5,13.53241429462689,6.766207147313445,MH
19,5,10.455418728183579,5.2277093640917895,MH
20,5,13.248057462969369,6.624028731484684,MH
21,5,18.04817054662093,9.024085273310465,MH
22,5,8.214517129449693,4.107258564724846,MH
23,5,14.067174903415658,7.033587451707829,MH
24,5,10.400245014578388,5.200122507289194,MH
25,5,14.398217185046798,7.199108592523399,MH
26,5,12.950968235864497,6.475484117932249,MH
27,5,14.538273534967669,7.269136767483834,MH
28,5,10.079813062486705,5.039906531243353,MH
29,5,13.122855574403745,6.561427787201873,MH
30,5,13.114367310772176,6.557183655386088,MH
31,5,14.570104523586044,7.285052261793022,MH
32,5,10.794949273446289,5.397474636723144,MH
33,5,10.217747346499682,5.108873673249841,MH
34,5,10.497860046341417,5.248930023170709,MH
35,5,11.297878893616678,5.648939446808339,MH
36,5,16.047062395478836,8.023531197739418,MH
37,5,14.079907298863008,7.039953649431504,MH
38,5,10.841634723419912,5.420817361709956,MH
39,5,8.452188511133588,4.226094255566794,MH
40,5,10.164695698802383,5.0823478494011916,MH
41,5,15.828489606965967,7.914244803482983,MH
42,5,13.867700708073814,6.933850354036907,MH
43,5,13.685203039995107,6.842601519997554,MH
44,5,10.614573671275474,5.307286835637737,MH
45,5,11.522817879853223,5.7614089399266115,MH
46,5,11.142968082340566,5.571484041170283,MH
47,5,17.844452219463307,8.922226109731653,MH
48,5,8.677127497370135,4.3385637486850674,MH
49,5,14.542517666783452,7.271258833391726,MH
50,5,14.230573978323337,7.115286989161668,MH
51,5,13.046461201719634,6.523230600859817,MH
52,5,7.89408517735801,3.947042588679005,MH
53,5,16.15104362496554,8.07552181248277,MH
54,5,12.624170086049139,6.312085043024569,MH
55,5,15.692677388860881,7.8463386944304405,MH
56,5,10.85224505295937,5.426122526479685,MH
57,5,17.58556017870049,8.792780089350245,MH
58,5,13.96319367392895,6.981596836964475,MH
59,5,12.554141911088704,6.277070955544352,MH
60,5,17.668320749108275,8.834160374554138,MH
61,5,10.597597144012338,5.298798572006169,MH
62,5,19.77553219564497,9.887766097822485,MH
63,5,13.441165460587536,6.720582730293768,MH
64,5,14.676207818980641,7.338103909490321,MH
65,5,7.272319866345672,3.636159933172836,MH
66,5,13.419944801508615,6.709972400754308,MH
67,5,11.338198145866624,5.669099072933312,MH
68,5,13.135587969851095,6.567793984925547,MH
69,5,13.97380400346841,6.986902001734205,MH
70,5,16.88527842909615,8.442639214548075,MH
71,5,10.51271450769666,5.25635725384833,MH
72,5,13.103756981232717,6.5518784906163585,MH
73,5,10.96047041426186,5.48023520713093,MH
74,5,12.72390718372006,6.36195359186003,MH
75,5,14.145691342007657,7.0728456710038285,MH
76,5,18.714499241699,9.3572496208495,MH
1,6,10.792827207538396,5.396413603769198,MH
2,6,11.599212252537333,5.7996061262686665,MH
3,6,8.428845786146777,4.2144228930733885,MH
4,6,8.725935013251648,4.362967506625824,MH
5,6,8.439456115686237,4.219728057843119,MH
6,6,13.651249985468837,6.825624992734419,MH
7,6,9.135493733474792,4.567746866737396,MH
8,6,9.056977294882792,4.528488647441396,MH
9,6,9.502611135540098,4.751305567770049,MH
10,6,5.156620156177409,2.5783100780887045,MH
11,6,10.620939868999148,5.310469934499574,MH
12,6,10.642160528078069,5.3210802640390344,MH
13,6,8.832038308646245,4.416019154323123,MH
14,6,7.751906761529249,3.8759533807646247,MH
15,6,13.3711372856271,6.68556864281355,MH
16,6,17.18024559029313,8.590122795146565,MH
17,6,10.788583075722613,5.3942915378613066,MH
18,6,11.263925839090406,5.631962919545203,MH
19,6,5.075981651677516,2.537990825838758,MH
20,6,10.292019653275899,5.1460098266379495,MH
21,6,9.301014874290363,4.6505074371451816,MH
22,6,9.572639310500533,4.786319655250266,MH
23,6,13.776451874034462,6.888225937017231,MH
24,6,12.651756942851733,6.325878471425867,MH
25,6,11.985428247773665,5.992714123886833,MH
26,6,12.129728729510317,6.0648643647551586,MH
27,6,9.076075888053818,4.538037944026909,MH
28,6,9.68086467180302,4.84043233590151,MH
29,6,16.06403892274197,8.032019461370986,MH
30,6,7.503625050305892,3.751812525152946,MH
31,6,7.410254150358647,3.7051270751793237,MH
32,6,12.83425461093044,6.41712730546522,MH
33,6,15.701165652492447,7.850582826246224,MH
34,6,21.22065907891938,10.61032953945969,MH
35,6,8.776864595041054,4.388432297520527,MH
36,6,7.633071070687301,3.8165355353436503,MH
37,6,14.062930771599872,7.031465385799936,MH
38,6,7.091944264174857,3.5459721320874285,MH
39,6,15.830611672873856,7.915305836436928,MH
40,6,14.504320480441395,7.2521602402206975,MH
41,6,18.565954628146564,9.282977314073282,MH
42,6,11.544038538932142,5.772019269466071,MH
43,6,11.391249793563922,5.695624896781961,MH
44,6,13.549390821890023,6.774695410945012,MH
45,6,12.588094965614976,6.294047482807488,MH
46,6,15.073034143756436,7.536517071878218,MH
47,6,10.695212175775367,5.347606087887684,MH
48,6,12.038479895470964,6.019239947735482,MH
49,6,11.529184077576899,5.764592038788449,MH
50,6,16.20833940447862,8.10416970223931,MH
51,6,18.863043855251437,9.431521927625719,MH
52,6,12.545653647457137,6.272826823728568,MH
53,6,11.762611327445011,5.881305663722506,MH
54,6,11.09203850055116,5.54601925027558,MH
55,6,12.49472406566773,6.247362032833865,MH
56,6,14.678329884888536,7.339164942444268,MH
57,6,17.45399209241119,8.726996046205596,MH
58,6,12.67934379965433,6.339671899827165,MH
59,6,13.748865017231868,6.874432508615934,MH
60,6,16.33990749076792,8.16995374538396,MH
61,6,16.605165729254413,8.302582864627206,MH
62,6,15.397710227663902,7.698855113831951,MH
63,6,13.984414333007873,6.9922071665039365,MH
64,6,14.094761760218253,7.0473808801091264,MH
65,6,14.901146805217188,7.450573402608594,MH
66,6,15.053935550585408,7.526967775292704,MH
67,6,13.908019960323763,6.9540099801618815,MH
68,6,17.396696312898108,8.698348156449054,MH
69,6,14.054442507968306,7.027221253984153,MH
